,FrameId,avg_circle_int_Ch1,avg_circle_int_Ch2
0,0,0.0,0.0
1,1,-2.3576273159793573,-0.858292598228104
2,2,11.95822712011335,3.8501777613546437
3,3,19.88299595228409,3.452185802507387
4,4,23.87710787186552,8.562509110267982
5,5,16.13777123352469,1.0656356885013025
6,6,28.052708640368166,4.587974751475812
7,7,42.28821302160526,12.702323636489481
8,8,46.932035289290155,14.917247321971146
9,9,50.731239372483344,10.942998762789372
10,10,66.6345653404889,19.256036371187932
11,11,60.735032307917805,13.482721821839405
12,12,56.26062172564636,9.722268720243093
13,13,69.415455453019,23.364070364995015
14,14,76.67616785166129,18.50401603431412
15,15,73.39973252270568,20.641850830062978
16,16,86.45850863852746,26.063750313784183
17,17,86.37439231730684,23.652715355097556
18,18,90.1621171715698,24.57352807139746
19,19,102.68189149382746,33.31793543620013
20,20,119.3665981449665,37.909833563783465
21,21,119.32323745230403,32.94418064864077
22,22,124.12101935357603,39.593857092072525
23,23,128.78315498318378,42.57636245228714
24,24,125.95608136366391,38.41510184726319
25,25,141.06518303075043,47.226165308614284
26,26,135.51600677498996,41.9553001026721
27,27,140.25592658907786,47.412569471996036
28,28,140.34508129831502,47.36748359837027
29,29,151.68664522262478,47.36309718206995
30,30,197.83609119617873,70.9978367276323
